"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	112	"C:\Hannah's FYP\White19_neu.jpg"	"poison"	"White"	"nose"	"Neg"	231	728	1	0	1	"Incon"
2	113	"C:\Hannah's FYP\Black8_neu.jpg"	"cockroach"	"Black"	"forehead"	"Neg"	111	745	1	0	1	"Con"
2	114	"C:\Hannah's FYP\Black23_neu.jpg"	"beauty"	"Black"	"nose"	"Pos"	132	593	2	0	1	"Incon"
2	115	"C:\Hannah's FYP\Black19_neu.jpg"	"sewage"	"Black"	"nose"	"Neg"	131	642	1	0	1	"Con"
2	116	"C:\Hannah's FYP\Black4_neu.jpg"	"vacation"	"Black"	"forehead"	"Pos"	112	873	2	0	1	"Incon"
2	117	"C:\Hannah's FYP\Black19_neu.jpg"	"beauty"	"Black"	"nose"	"Pos"	132	510	2	0	1	"Incon"
2	118	"C:\Hannah's FYP\Black7_neu.jpg"	"sewage"	"Black"	"forehead"	"Neg"	111	2060.18353827802	1	0	1	"Con"
2	119	"C:\Hannah's FYP\White8_neu.jpg"	"smile"	"White"	"forehead"	"Pos"	212	554	2	0	1	"Con"
2	120	"C:\Hannah's FYP\White19_neu.jpg"	"smile"	"White"	"nose"	"Pos"	232	562	2	0	1	"Con"
2	121	"C:\Hannah's FYP\Black16_neu.jpg"	"smile"	"Black"	"eyes"	"Pos"	122	644	2	0	1	"Incon"
2	122	"C:\Hannah's FYP\Black20_neu.jpg"	"disgust"	"Black"	"nose"	"Neg"	131	559	1	0	1	"Con"
2	123	"C:\Hannah's FYP\White11_neu.jpg"	"sewage"	"White"	"eyes"	"Neg"	221	633	1	0	1	"Incon"
2	124	"C:\Hannah's FYP\White1_neu.jpg"	"vacation"	"White"	"forehead"	"Pos"	212	601	2	0	1	"Con"
2	125	"C:\Hannah's FYP\White2_neu.jpg"	"joy"	"White"	"forehead"	"Pos"	212	609	2	0	1	"Con"
2	126	"C:\Hannah's FYP\Black5_neu.jpg"	"poison"	"Black"	"forehead"	"Neg"	111	466	1	0	1	"Con"
2	127	"C:\Hannah's FYP\White14_neu.jpg"	"joy"	"White"	"eyes"	"Pos"	222	821	2	0	1	"Con"
2	128	"C:\Hannah's FYP\Black4_neu.jpg"	"poison"	"Black"	"forehead"	"Neg"	111	612	1	0	1	"Con"
2	129	"C:\Hannah's FYP\White11_neu.jpg"	"joy"	"White"	"eyes"	"Pos"	222	796	2	0	1	"Con"
2	130	"C:\Hannah's FYP\White20_neu.jpg"	"garbage"	"White"	"nose"	"Neg"	231	673	1	0	1	"Incon"
2	131	"C:\Hannah's FYP\Black6_neu.jpg"	"success"	"Black"	"forehead"	"Pos"	112	2060.18353827802	2	0	1	"Incon"
2	132	"C:\Hannah's FYP\White3_neu.jpg"	"despair"	"White"	"forehead"	"Neg"	211	564	1	0	1	"Incon"
