"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"Subnum"	"Congruent"
2	159	"C:\Hannah's FYP\Black19_neu.jpg"	"beauty"	1	"nose"	2	NA	132	536	2	0	25	2
2	160	"C:\Hannah's FYP\Black21_neu.jpg"	"joy"	1	"nose"	2	NA	132	440	2	0	25	2
2	161	"C:\Hannah's FYP\Black12_neu.jpg"	"paradise"	1	"eyes"	2	NA	122	855	2	0	25	2
2	162	"C:\Hannah's FYP\White9_neu.jpg"	"paradise"	2	"eyes"	2	NA	222	445	2	0	25	1
2	163	"C:\Hannah's FYP\White20_neu.jpg"	"love"	2	"nose"	2	NA	232	776	2	0	25	1
2	164	"C:\Hannah's FYP\White7_neu.jpg"	"smile"	2	"forehead"	2	NA	212	553	2	0	25	1
2	165	"C:\Hannah's FYP\White17_neu.jpg"	"vomit"	2	"nose"	1	NA	231	604	1	0	25	2
2	166	"C:\Hannah's FYP\White14_neu.jpg"	"beauty"	2	"eyes"	2	NA	222	568	2	0	25	1
2	167	"C:\Hannah's FYP\Black9_neu.jpg"	"pest"	1	"eyes"	1	NA	121	1418	1	0	25	1
2	168	"C:\Hannah's FYP\White13_neu.jpg"	"paradise"	2	"eyes"	2	NA	222	568	2	0	25	1
2	169	"C:\Hannah's FYP\Black1_neu.jpg"	"pest"	1	"forehead"	1	NA	111	602	1	0	25	1
2	170	"C:\Hannah's FYP\Black6_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	594	1	0	25	1
2	171	"C:\Hannah's FYP\Black8_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	641	1	0	25	1
2	172	"C:\Hannah's FYP\White2_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	504	1	0	25	2
2	173	"C:\Hannah's FYP\Black24_neu.jpg"	"smile"	1	"nose"	2	NA	132	817	2	0	25	2
2	174	"C:\Hannah's FYP\White8_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	649	1	0	25	2
2	175	"C:\Hannah's FYP\Black6_neu.jpg"	"smile"	1	"forehead"	2	NA	112	648	2	0	25	2
2	176	"C:\Hannah's FYP\Black5_neu.jpg"	"pest"	1	"forehead"	1	NA	111	663	1	0	25	1
2	177	"C:\Hannah's FYP\White12_neu.jpg"	"garbage"	2	"eyes"	1	NA	221	573	1	0	25	2
2	178	"C:\Hannah's FYP\White10_neu.jpg"	"cockroach"	2	"eyes"	1	NA	221	511	1	0	25	2
2	179	"C:\Hannah's FYP\White1_neu.jpg"	"joy"	2	"forehead"	2	NA	212	804	2	0	25	1
2	180	"C:\Hannah's FYP\Black3_neu.jpg"	"paradise"	1	"forehead"	2	NA	112	626	2	0	25	2
2	181	"C:\Hannah's FYP\White7_neu.jpg"	"vomit"	2	"forehead"	1	NA	211	610	1	0	25	2
2	182	"C:\Hannah's FYP\Black8_neu.jpg"	"joy"	1	"forehead"	2	NA	112	504	2	0	25	2
2	183	"C:\Hannah's FYP\Black4_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	660	1	0	25	1
2	184	"C:\Hannah's FYP\Black2_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	507	1	0	25	1
2	185	"C:\Hannah's FYP\White12_neu.jpg"	"vomit"	2	"eyes"	1	NA	221	535	1	0	25	2
2	186	"C:\Hannah's FYP\Black23_neu.jpg"	"romance"	1	"nose"	2	NA	132	639	2	0	25	2
2	187	"C:\Hannah's FYP\White16_neu.jpg"	"poison"	2	"eyes"	1	NA	221	686	1	0	25	2
2	188	"C:\Hannah's FYP\Black7_neu.jpg"	"sewage"	1	"forehead"	1	NA	111	568	1	0	25	1
2	189	"C:\Hannah's FYP\Black10_neu.jpg"	"vacation"	1	"eyes"	2	NA	122	545	2	0	25	2
2	190	"C:\Hannah's FYP\Black17_neu.jpg"	"cockroach"	1	"nose"	1	NA	131	538	1	0	25	1
2	191	"C:\Hannah's FYP\White4_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	614	1	0	25	2
2	192	"C:\Hannah's FYP\Black15_neu.jpg"	"beauty"	1	"eyes"	2	NA	122	598	2	0	25	2
2	1	"C:\Hannah's FYP\White8_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	559	2	0	26	1
2	2	"C:\Hannah's FYP\Black8_neu.jpg"	"joy"	1	"forehead"	2	NA	112	560	2	0	26	2
2	3	"C:\Hannah's FYP\Black12_neu.jpg"	"success"	1	"eyes"	2	NA	122	570	2	0	26	2
2	4	"C:\Hannah's FYP\Black20_neu.jpg"	"vomit"	1	"nose"	1	NA	131	551	1	0	26	1
2	5	"C:\Hannah's FYP\White15_neu.jpg"	"vomit"	2	"eyes"	1	NA	221	498	1	0	26	2
2	6	"C:\Hannah's FYP\White23_neu.jpg"	"love"	2	"nose"	2	NA	232	451	2	0	26	1
2	7	"C:\Hannah's FYP\Black12_neu.jpg"	"garbage"	1	"eyes"	1	NA	121	554	1	0	26	1
2	8	"C:\Hannah's FYP\Black19_neu.jpg"	"sewage"	1	"nose"	1	NA	131	436	1	0	26	1
2	9	"C:\Hannah's FYP\White21_neu.jpg"	"joy"	2	"nose"	2	NA	232	448	2	0	26	1
2	10	"C:\Hannah's FYP\White10_neu.jpg"	"despair"	2	"eyes"	1	NA	221	568	1	0	26	2
2	11	"C:\Hannah's FYP\White2_neu.jpg"	"vomit"	2	"forehead"	1	NA	211	577	1	0	26	2
2	12	"C:\Hannah's FYP\White14_neu.jpg"	"success"	2	"eyes"	2	NA	222	552	2	0	26	1
2	13	"C:\Hannah's FYP\Black4_neu.jpg"	"vacation"	1	"forehead"	2	NA	112	466	2	0	26	2
2	14	"C:\Hannah's FYP\White22_neu.jpg"	"smile"	2	"nose"	2	NA	232	553	2	0	26	1
2	15	"C:\Hannah's FYP\White4_neu.jpg"	"joy"	2	"forehead"	2	NA	212	467	2	0	26	1
2	16	"C:\Hannah's FYP\Black15_neu.jpg"	"beauty"	1	"eyes"	2	NA	122	505	2	0	26	2
2	17	"C:\Hannah's FYP\White3_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	502	1	0	26	2
2	18	"C:\Hannah's FYP\White9_neu.jpg"	"vacation"	2	"eyes"	2	NA	222	427	2	0	26	1
2	19	"C:\Hannah's FYP\White6_neu.jpg"	"despair"	2	"forehead"	1	NA	211	491	1	0	26	2
2	20	"C:\Hannah's FYP\White3_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	552	1	0	26	2
2	21	"C:\Hannah's FYP\White17_neu.jpg"	"poison"	2	"nose"	1	NA	231	531	1	0	26	2
